Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
132,Exit long,2016-09-13 21:15,Long Exit,11.98,10557.8611,127538.9621,-1055.79,-0.83,0,0.00,-1161.36,-0.91,53077.57,53.08
132,Entry long,2016-09-13 19:45,Long,12.08,10557.8611,127538.9621,-1055.79,-0.83,0,0.00,-1161.36,-0.91,53077.57,53.08
133,Exit short,2016-09-14 03:45,Short Exit,11.98,10248.2118,122773.5774,0,0.00,819.86,0.67,-102.48,-0.08,53077.57,53.08
133,Entry short,2016-09-13 21:15,Short,11.98,10248.2118,122773.5774,0,0.00,819.86,0.67,-102.48,-0.08,53077.57,53.08
134,Exit long,2016-09-14 16:45,Long Exit,11.93,16408.6105,196739.2399,-984.52,-0.50,164.09,0.08,-984.52,-0.50,52093.06,52.09
134,Entry long,2016-09-14 14:45,Long,11.99,16408.6105,196739.2399,-984.52,-0.50,164.09,0.08,-984.52,-0.50,52093.06,52.09
135,Exit short,2016-09-15 01:45,Short Exit,11.96,16245.3725,193644.8402,-649.81,-0.34,974.72,0.50,-974.72,-0.50,51443.24,51.44
135,Entry short,2016-09-14 17:00,Short,11.92,16245.3725,193644.8402,-649.81,-0.34,974.72,0.50,-974.72,-0.50,51443.24,51.44
136,Exit long,2016-09-15 15:30,Stop Hit,12.03,12067.7528,144933.7111,241.36,0.17,1327.45,0.92,-603.39,-0.42,51684.6,51.68
136,Entry long,2016-09-15 02:30,Long,12.01,12067.7528,144933.7111,241.36,0.17,1327.45,0.92,-603.39,-0.42,51684.6,51.68
137,Exit short,2016-09-16 07:00,Short Exit,11.96,13326.49,159251.5555,-133.26,-0.08,533.06,0.33,-666.32,-0.42,51551.33,51.55
137,Entry short,2016-09-15 17:45,Short,11.95,13326.49,159251.5555,-133.26,-0.08,533.06,0.33,-666.32,-0.42,51551.33,51.55
138,Exit long,2016-09-17 03:30,Long Exit,12.47,15890.1235,190681.482,7468.36,3.92,11758.69,6.17,-158.9,-0.08,59019.69,59.02
138,Entry long,2016-09-16 12:30,Long,12,15890.1235,190681.482,7468.36,3.92,11758.69,6.17,-158.9,-0.08,59019.69,59.02
139,Exit short,2016-09-17 09:30,Short Exit,12.54,12656.7097,157829.17,-885.97,-0.56,126.57,0.08,-1012.54,-0.64,58133.72,58.13
139,Entry short,2016-09-17 07:30,Short,12.47,12656.7097,157829.17,-885.97,-0.56,126.57,0.08,-1012.54,-0.64,58133.72,58.13
140,Exit long,2016-09-17 16:45,Stop Hit,12.63,12284.7383,155770.4816,-614.24,-0.39,982.78,0.63,-737.08,-0.47,57519.48,57.52
140,Entry long,2016-09-17 12:00,Long,12.68,12284.7383,155770.4816,-614.24,-0.39,982.78,0.63,-737.08,-0.47,57519.48,57.52
141,Exit long,2016-09-18 02:30,Stop Hit,12.66,16230.8688,206943.5772,-1460.78,-0.71,162.31,0.08,-1460.78,-0.71,56058.7,56.06
141,Entry long,2016-09-18 01:00,Long,12.75,16230.8688,206943.5772,-1460.78,-0.71,162.31,0.08,-1460.78,-0.71,56058.7,56.06
142,Exit long,2016-09-18 12:45,Stop Hit,12.86,15313.3007,196163.382,765.67,0.39,3062.66,1.56,0,0.00,56824.37,56.82
142,Entry long,2016-09-18 08:45,Long,12.81,15313.3007,196163.382,765.67,0.39,3062.66,1.56,0,0.00,56824.37,56.82
143,Exit short,2016-09-19 02:15,Stop Hit,12.5,9609.3884,121078.2938,960.94,0.79,3747.66,3.10,-96.09,-0.08,57785.31,57.79
143,Entry short,2016-09-18 20:30,Short,12.6,9609.3884,121078.2938,960.94,0.79,3747.66,3.10,-96.09,-0.08,57785.31,57.79
144,Exit long,2016-09-19 13:00,Long Exit,12.82,7015.9023,90855.93479,-912.07,-1.00,491.11,0.54,-982.23,-1.08,56873.24,56.87
144,Entry long,2016-09-19 08:00,Long,12.95,7015.9023,90855.93479,-912.07,-1.00,491.11,0.54,-982.23,-1.08,56873.24,56.87
