Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
53,Exit long,2000-03-23 19:00,S1 Climax,2165.5,1,2140.5,1250,1.17,1300,1.21,-187.5,-0.18,6212.5,6.21
53,Entry long,2000-03-23 16:00,S1 Trend,2140.5,1,2140.5,1250,1.17,1300,1.21,-187.5,-0.18,6212.5,6.21
54,Exit long,2000-03-23 19:30,S1 Climax,2170.5,1,2140.5,1500,1.40,1525,1.42,-187.5,-0.18,7712.5,7.71
54,Entry long,2000-03-23 16:00,S1 Trend,2140.5,1,2140.5,1500,1.40,1525,1.42,-187.5,-0.18,7712.5,7.71
55,Exit long,2000-03-23 21:00,EOD,2164.5,4,8562,4800,1.12,6100,1.42,-750,-0.18,12512.5,12.51
55,Entry long,2000-03-23 16:00,S1 Trend,2140.5,4,8562,4800,1.12,6100,1.42,-750,-0.18,12512.5,12.51
56,Exit long,2000-03-24 16:00,S1 Climax,2187.75,2,4337.5,1900,0.88,2350,1.08,-50,-0.02,14412.5,14.41
56,Entry long,2000-03-24 15:00,S1 Trend,2168.75,2,4337.5,1900,0.88,2350,1.08,-50,-0.02,14412.5,14.41
57,Exit long,2000-03-24 17:00,S1 Trail,2179.25,5,10843.75,2625,0.48,5875,1.08,-125,-0.02,17037.5,17.04
57,Entry long,2000-03-24 15:00,S1 Trend,2168.75,5,10843.75,2625,0.48,5875,1.08,-125,-0.02,17037.5,17.04
58,Exit long,2000-03-27 18:00,S2 FairVal,2164.5,6,12979.5,375,0.06,525,0.08,-1125,-0.17,17412.5,17.41
58,Entry long,2000-03-27 17:30,S2 VWAP,2163.25,6,12979.5,375,0.06,525,0.08,-1125,-0.17,17412.5,17.41
59,Exit long,2000-03-29 17:00,S1 Trail,2144.75,7,15074.5,-3062.5,-0.41,612.5,0.08,-3062.5,-0.41,14350,14.35
59,Entry long,2000-03-29 16:30,S1 Trend,2153.5,7,15074.5,-3062.5,-0.41,612.5,0.08,-3062.5,-0.41,14350,14.35
60,Exit long,2000-03-31 22:00,EOD,2136.25,3,6421.5,-637.5,-0.20,2437.5,0.76,-637.5,-0.20,13712.5,13.71
60,Entry long,2000-03-31 20:00,S1 Trend,2140.5,3,6421.5,-637.5,-0.20,2437.5,0.76,-637.5,-0.20,13712.5,13.71
