Trade #,Type,Date/Time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %,Cumulative P&L USD,Cumulative P&L %
180,Entry short,17/03/2021 10:00,Short,13.16,1462.032,19240.34112,-1081.9,-5.62,58.48,0.3,-1169.63,-6.08,-1773.53,-1.77
181,Exit long,18/03/2021 11:30,Long Exit,14.06,1261.215,17682.2343,50.45,0.29,580.16,3.28,-189.18,-1.07,-1723.08,-1.72
181,Entry long,17/03/2021 17:30,Long,14.02,1261.215,17682.2343,50.45,0.29,580.16,3.28,-189.18,-1.07,-1723.08,-1.72
182,Exit long,19/03/2021 00:30,Long Exit,13.97,1501.225,22007.9585,-1035.85,-4.71,135.11,0.61,-1080.88,-4.91,-2758.92,-2.76
182,Entry long,18/03/2021 18:00,Long,14.66,1501.225,22007.9585,-1035.85,-4.71,135.11,0.61,-1080.88,-4.91,-2758.92,-2.76
183,Exit short,19/03/2021 12:30,Short Exit,14.26,1383.29,19324.5613,-401.15,-2.08,152.16,0.79,-456.49,-2.36,-3160.08,-3.16
183,Entry short,19/03/2021 00:30,Short,13.97,1383.29,19324.5613,-401.15,-2.08,152.16,0.79,-456.49,-2.36,-3160.08,-3.16
184,Exit long,20/03/2021 20:30,Long Exit,14.47,2054.663,29710.42698,20.55,0.07,1068.42,3.6,-82.19,-0.28,-3139.53,-3.14
184,Entry long,20/03/2021 07:00,Long,14.46,2054.663,29710.42698,20.55,0.07,1068.42,3.6,-82.19,-0.28,-3139.53,-3.14
185,Exit short,21/03/2021 15:30,Short Exit,14.03,1532.564,21394.59344,-107.28,-0.5,490.42,2.29,-214.56,-1,-3246.81,-3.25
185,Entry short,21/03/2021 03:00,Short,13.96,1532.564,21394.59344,-107.28,-0.5,490.42,2.29,-214.56,-1,-3246.81,-3.25
186,Exit long,22/03/2021 17:00,Long Exit,15.64,1331.574,19467.61188,1358.21,6.98,2623.2,13.47,-93.21,-0.48,-1888.6,-1.89
